title,author_name,genre_name,publication_year
The Lost Horizon2 ,Armando Johnston,Ficción,1937
The Lost Horizon,Armando Johnston,Ficción,1937
Shadows of Tomorrow,Christina McGlynn I,Ciencia ficción,2001
Whispers in the Dark,Natalie Kohler DVM,Terror,1988
The Iron Path,Jackson Brekke,Historia,2010
Beyond the Stars,Mr. Theron Sporer DVM,Ciencia ficción,1975
A Gentle Storm,Cooper Kovacek,Romance,2003
The Forgotten King,Lizzie Kertzmann,Fantasía,1999
Echoes of War,Fiona Bergstrom,Historia,2015
Silent Witness,Evelyn Sawayn,No ficción,2008
The Last Theorem,Prof. Norris Pfeffer DDS,Ficción,1992
Dual Minds,Armando Johnston|Christina McGlynn I,Ciencia ficción,2018
Dark Alliance,Natalie Kohler DVM|Jackson Brekke,Terror,2005
